
「徳川家康」,火の鳥伝記文庫,松本清張,講談社,1982,"6,7,8",あり,あり,307,歴史、伝記、日本、江戸、幕府、痛快、男、,伝記・歴史の扉,,,,徳川 家康は、戦国時代から江戸時代初期の日本の武将・大名。江戸幕府の初代将軍。徳川氏の祖。三英傑の一人に数えられることもある。,,
「源義経」,火の鳥伝記文庫,今西裕行,講談社,1982,"6,7,8",あり,あり,169,歴史、伝記、日本、源平、平安、悲しい、男、,伝記・歴史の扉,,,,源 義経は、平安時代末期から鎌倉時代初期にかけての日本の武将。鎌倉幕府初代将軍源頼朝の異母弟。九番目の子である。仮名は九郎、実名は義経である。 河内源氏の源義朝の九男として生まれ、幼名を牛若丸と言った。平治の乱で父が敗死したことにより鞍馬寺に預けられるが、後に平泉へ下り、奥州藤原氏の当主・藤原秀衡の庇護を受ける。,,
蜘蛛の糸・杜子春 ,青い鳥文庫,芥川龍之介,講談社,2007,"9,10",あり,あり,228,名著、悲しい、教訓、無謀、日本、文学、,文学の扉,,,,児童文学からキリシタン物、王朝物まで数多くの名作を遺した日本文学を代表する文豪・芥川龍之介。代表作『蜘蛛の糸』『杜子春』ほか全９編を収録。目次蜘蛛の糸杜子春魔術アグニの神トロッコ仙人白猿蟹合戦三右衛門の罪,,
ジェーン・グドール,,リビー・ロメロ,三省堂,2020,,,,,チンパンジー、伝記、女性、偉人、イギリス、動物,伝記・歴史の扉,動物・昆虫の扉,,,ジェーン・グドールは、動物行動学者、国連平和大使である。チンパンジーの野生下での行動や社会性を長期にわたって観察し、人間とチンパンジーの共通点や相違点を明らかにした。また、動物や自然の保護活動にも積極的に取り組んでいた。,,
チョコレート工場の秘密,,ロアルド・ダール,評論社,,,,,,物語、ワクワク,冒険の扉,,,,『チョコレート工場の秘密』は、1964年にロアルド・ダールが発表した児童小説。 続篇に『ガラスのエレベーター 宇宙にとびだす』がある。,,
巌窟王,青い鳥文庫,デュマ,講談社,,"小5,小6",,,,冒険、物語 、ドキドキ,冒険の扉,,,,『巌窟王』は、アレクサンドル・デュマ・ペールの小説『モンテ・クリスト伯』を原作とする日本のテレビアニメ。テレビ朝日で、2004年10月5日より2005年3月29日まで放送された。,,
数学ワンダーランドへの1日冒険旅行,,秋山仁,近代科学社,,,,,,算数、ワクワク,算数の扉,冒険の扉,,,変身立体、正四面体からつくるタイル張り模様(正四面体タイル定理)、ダブル充てん立体など、これまで他で紹介されたことのなかった斬新な題材を多数とりあげている。読者に算数・数学の楽しみと最新の結果を伝え、自ずと考えさせるように書かれた、体験型教授法の手引となる一冊。,,
森は生きている,青い鳥文庫,富山和子,講談社,,"小3,小4",,,,森、自然、日本,知識の扉,,,,,,
具体と抽象,,細谷功,東洋経済新報社,,,,,,具体、抽象、コミュニケーション,知識の扉,,,,,,
自由は死せず(上、下),双葉文庫,門井慶喜,双葉社,2019,"小5,小6",なし,なし,963,歴史、小説、明治、幕末、男、征韓論,伝記・歴史の扉,,,,,,
